"업소명",업종명,서비스대상구분,외국어안내서비스,소재지도로명주소,소재지지번주소,전화번호,객실수,부대시설,주차장보유여부,결제방법,홈페이지주소,주변관광정보,위도,경도,데이터기준일자
"게스트하우스에버",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 한도로 67,제주특별자치도 서귀포시 성산읍 한도로 67,,6,,,,,,33.4682832,126.9154053,2017-12-15
"성산핫플게스트하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 한도로242번길 8,제주특별자치도 서귀포시 성산읍 한도로242번길 8,,4,,,,,,33.4660255,126.932863,2017-12-15
"자연민박",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 혼인지로37번길 33-7,제주특별자치도 서귀포시 성산읍 혼인지로37번길 33-7,,5,,,,,,33.4131171297,126.891044,2017-12-15
casa de jeju,민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 난고로42번길 24. C동,제주특별자치도 서귀포시 성산읍 난고로42번길 24. C동,,1,,,,,,33.436054,126.905383,2017-12-15
"바다마중",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 환해장성로 439. A동,제주특별자치도 서귀포시 성산읍 환해장성로 439. A동,,2,,,,,,33.3967263,126.9037852,2017-12-15
K-1민박,민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 독자봉로60번길 8,제주특별자치도 서귀포시 성산읍 독자봉로60번길 8,,2,,,,,,33.3842605,126.8691677,2017-12-15
"고래의꿈A",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 독자봉로24번길 84,제주특별자치도 서귀포시 성산읍 독자봉로24번길 84,,2,,,,,,33.3904805,126.8733974,2017-12-15
"유빈민박",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 산성효자로 228-14,제주특별자치도 서귀포시 성산읍 산성효자로 228-14,,2,,,,,,33.4497432,126.8895787,2017-12-15
"일출로민박",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 일출로 32-6,제주특별자치도 서귀포시 성산읍 일출로 32-6,,2,,,,,,33.4474100,126.9167859,2017-12-15
"텐저린하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 산성효자로 228-12,제주특별자치도 서귀포시 성산읍 산성효자로 228-12,,2,,,,,,33.4497432,126.8895787,2017-12-15
"해담",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 난고로42번길 110-11,제주특별자치도 서귀포시 성산읍 난고로42번길 110-11,,2,,,,,,33.4433216,126.9065691,2017-12-15
"귤꽃방",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 삼달로 235-20,제주특별자치도 서귀포시 성산읍 삼달로 235-20,,1,,,,,,33.3749393,126.8439145,2017-12-15
"휴(休)낭",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 산성효자로 95-1,제주특별자치도 서귀포시 성산읍 산성효자로 95-1,,2,,,,,,33.446963,126.9016745,2017-12-15
"데이스테이",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 환해장성로 441. A동,제주특별자치도 서귀포시 성산읍 환해장성로 441. A동,,3,,,,,,33.396955,126.906113,2017-12-15
"마중",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 환해장성로 439. B동,제주특별자치도 서귀포시 성산읍 환해장성로 439. B동,,2,,,,,,33.3967263,126.9037852,2017-12-15
"귤밭풍경민박",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 산성효자로 228-10,제주특별자치도 서귀포시 성산읍 산성효자로 228-10,,2,,,,,,33.4497432,126.8895787,2017-12-15
"성산포사랑",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 성산중앙로 30-4,제주특별자치도 서귀포시 성산읍 성산중앙로 30-4,,6,,,,,,33.4622982,126.9329625,2017-12-15
"인더오조",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 해맞이해안로 2768,제주특별자치도 서귀포시 성산읍 해맞이해안로 2768,,3,,,,,,33.4588362,126.9216573,2017-12-15
"비조당",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 시흥하동로 55번 16,제주특별자치도 서귀포시 성산읍 시흥하동로 55번 16,,3,,,,,,33.4738343,126.9031431,2017-12-15
"옥도",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 일출로 288번길 14,제주특별자치도 서귀포시 성산읍 일출로 288번길 14,,1,,,,,,33.4642791,126.9360105,2017-12-15
"모살게스트하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 일주동로 4340,제주특별자치도 서귀포시 성산읍 일주동로 4340,,4,,,,,,33.4416129,126.911073,2017-12-15
"더 머무름",민박,내국인+외국인,,제주특별자치도 서귀포시 성산읍 성산중앙로 46,제주특별자치도 서귀포시 성산읍 성산중앙로 46,,7,,,,,,33.4636138,126.9340253,2017-12-15
"공원민박",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 사계신항로 17,제주특별자치도 서귀포시 안덕면 사계신항로 17,,6,,,,,,33.2492719,126.3220453,2017-12-15
"가온누리",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 덕수서로 228-31(D동),제주특별자치도 서귀포시 안덕면 덕수서로 228-31(D동),,1,,,,,,33.2731247,126.3056979,2017-12-15
"이태리 밀라노 하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 덕수서로 17-1,제주특별자치도 서귀포시 안덕면 덕수서로 17-1,,1,,,,,,33.2520081,126.3039394,2017-12-15
"사계 옥화네 민박",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 사계중앙로 13-9,제주특별자치도 서귀포시 안덕면 사계중앙로 13-9,,3,,,,,,33.2300099,126.2978944,2017-12-15
"감산오름풍경",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 일주서로 1438,제주특별자치도 서귀포시 안덕면 일주서로 1438,,5,,,,,,33.2607002,126.3592713,2017-12-15
"가월",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 서광서문로 59,제주특별자치도 서귀포시 안덕면 서광서문로 59,,4,,,,,,33.2839704,126.3231816,2017-12-15
"서툰가족 4번지",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 사계중앙로 41-13,제주특별자치도 서귀포시 안덕면 사계중앙로 41-13,,1,,,,,,33.228211,126.298199,2017-12-15
"제주더와이",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 일주서로 1499. 3층,제주특별자치도 서귀포시 안덕면 일주서로 1499. 3층,,4,,,,,,33.2585147,126.3553684,2017-12-15
"드리네민박",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 소기왓로 41-4,제주특별자치도 서귀포시 안덕면 소기왓로 41-4,,1,,,,,,33.2386794,126.3691514,2017-12-15
"민영이네 민박",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 화순임중로 15-11,제주특별자치도 서귀포시 안덕면 화순임중로 15-11,,1,,,,,,33.243521,126.3375667,2017-12-15
"마농",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 소기왓로 75-1,제주특별자치도 서귀포시 안덕면 소기왓로 75-1,,1,,,,,,33.2354571,126.3676996,2017-12-15
"소랑제",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 소기왓로 71,제주특별자치도 서귀포시 안덕면 소기왓로 71,,1,,,,,,33.240644,126.3683971,2017-12-15
"마비오주",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 소기왓로 71,제주특별자치도 서귀포시 안덕면 소기왓로 71,,1,,,,,,33.240644,126.3683971,2017-12-15
"소랑제밤별",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 소기왓로 71,제주특별자치도 서귀포시 안덕면 소기왓로 71,,1,,,,,,33.240644,126.3683971,2017-12-15
"소라하우스",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 난드르로 18,제주특별자치도 서귀포시 안덕면 난드르로 18,,2,,,,,,33.2348336,126.3664238,2017-12-15
"지호네민박 마을",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 덕수서로35번길 18-3,제주특별자치도 서귀포시 안덕면 덕수서로35번길 18-3,,1,,,,,,33.2545796,126.3031278,2017-12-15
"소랑제 바람",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 소기왓로 77 (제2동),제주특별자치도 서귀포시 안덕면 소기왓로 77 (제2동),,1,,,,,,33.2354571,126.3676996,2017-12-15
"송담별장",민박,내국인+외국인,,제주특별자치도 서귀포시 안덕면 평화로 319번길137-6,제주특별자치도 서귀포시 안덕면 평화로 319번길137-6,,1,,,,,,33.2796143,126.3128856,2017-12-15
